no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
167,Ilalambyu Dispensary,Migwani Ward,Mwingi West Sub County,Kitui County,12083,3839,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
168,Migwani Medical Centre,Migwani Ward,Mwingi West Sub County,Kitui County,23773,2085770,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
169,Wanzoa Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12842,7924,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
170,Kyome (AIC) Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12417,7402,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
171,Waita Health Centre,Waita Ward,Mwingi Central Sub- County,Kitui County,12839,12799,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
172,Usueni Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,12832,11916,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
173,Wikithuki Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16925,1144,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
174,Makongoni Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,19107,11274,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
175,Usiani Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,18364,11864,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
176,Malalani Health Center,Endau/malalani Ward,Kitui East Sub County,Kitui County,12459,7204,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
177,Kiomo Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16655,7624,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
178,Ukasi Model Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,18090,11740,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
179,Karura Dispensary,Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16939,7547,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
180,Uae Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,22188,2846,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
181,Tyaa Kamuthale Health Centre,Mumoni Ward,Mwingi North Sub County,Kitui County,12819,5799,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
182,Ndooni Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,20411,9620,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
183,Twimyua Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12818,1331,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
184,Mulangoni Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,12567,9317,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
185,Katumbi Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,22223,2789,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
186,Tuvaani Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12817,10162,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
187,Tungutu Health Centre,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12812,3794,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
188,Mitamisyi Dispensary,Ngomeni Ward,Mwingi North Sub County,Kitui County,12531,3255,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
189,Tseikuru Sub-District Hospital,Tseikuru Ward,Mwingi North Sub County,Kitui County,12805,11815,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
190,Nguuku Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,12661,8480,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
191,Mumoni Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,12576,3252,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
192,Tiva Dispensary,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12803,7833,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
193,Tii Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12800,12414,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
194,Thonzweni Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,16859,11513,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
195,Thitha Dispensary,Kivou Ward,Mwingi Central Sub- County,Kitui County,12798,11594,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
196,Thitani Health Centre,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12797,5822,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
197,Mephibosheth Medical Clinic,Kyuso Ward,Mwingi North Sub County,Kitui County,20566,3219,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
198,Tharaka Health Centre,Tharaka Ward,Mwingi North Sub County,Kitui County,12794,11816,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
199,Maseki Dispensary (Kyuso),Kyuso Ward,Mwingi North Sub County,Kitui County,20875,8857,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
200,Thaana Nzau Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12792,11576,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
201,Tei Wa Yesu Health Centre,Kyuso Ward,Mwingi North Sub County,Kitui County,12789,11645,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
202,Nyanyaa Dispensary,Waita Ward,Mwingi Central Sub- County,Kitui County,22225,2061939,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
203,Mwambui Dispensary,Waita Ward,Mwingi Central Sub- County,Kitui County,20266,11383,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
204,Muono Dispensary,Waita Ward,Mwingi Central Sub- County,Kitui County,12578,8766,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
205,Syongila Dispensary,Township Ward,Kitui Central  Sub County,Kitui County,12781,4603,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
206,Yatwa Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12854,11555,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
207,Nyaani Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12682,4889,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
208,Muangeni Dispensary(mwingi),Nuu Ward,Mwingi Central Sub- County,Kitui County,20284,10556,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
209,Masyungwa Health Centre,Tseikuru Ward,Mwingi North Sub County,Kitui County,12479,2915,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
210,Kyumbe Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,20256,1323,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
211,Kavisuni dispensary(mwingi),Nuu Ward,Mwingi Central Sub- County,Kitui County,20275,10538,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
212,Kavindu Health Centre,Nuu Ward,Mwingi Central Sub- County,Kitui County,12258,2558,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
213,Ngiluni Dispensary (Mwingi),Nguni Ward,Mwingi Central Sub- County,Kitui County,16935,8064,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
214,Mataka Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12480,3772,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
215,Ngieni Community Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,18500,8540,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
216,Musovo Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,16938,7308,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
217,Mathuki Health Centre,Mui Ward,Mwingi Central Sub- County,Kitui County,12483,3069,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
218,Mulinde Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,16936,10307,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
219,Maai Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,12436,7353,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
220,Ivuusya Dispensary,Nguni Ward,Mwingi Central Sub- County,Kitui County,12104,7759,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
221,Yumbu Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12857,11552,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
222,Nduvani Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,16937,7331,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
223,Mathunzini Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16656,7322,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
224,Matulani Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,20257,10560,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
225,Lundi Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12435,7521,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
226,Mwingi Medicare Centre,Kivou Ward,Mwingi Central Sub- County,Kitui County,17055,7636,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
227,Mathyakani Dispensary,Central Ward,Mwingi Central Sub- County,Kitui County,16927,12593,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
228,Karunga Dispensary,Kivou Ward,Mwingi Central Sub- County,Kitui County,22226,2061879,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
229,Kamulewa Dispensary,Kivou Ward,Mwingi Central Sub- County,Kitui County,20889,4516,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
230,Mwingi Nursing Home,Central Ward,Mwingi Central Sub- County,Kitui County,12627,7632,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
231,Musukini Dispensary,Central Ward,Mwingi Central Sub- County,Kitui County,16247,7556,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
232,Rehoboth Maternity Nursing Home(Mwingi North),Kyuso Ward,Mwingi North Sub County,Kitui County,12243,4015,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
233,Kisumo Medical Centre,Central Ward,Mwingi Central Sub- County,Kitui County,23277,2061662,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
234,Mavui Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12495,7603,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
235,Ithumbi Disensary,Central Ward,Mwingi Central Sub- County,Kitui County,19934,4832,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
236,Family Nursing home and Maternity ( Mwingi Central),Central Ward,Mwingi Central Sub- County,Kitui County,18568,7609,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
237,Faith Medical Centre,Central Ward,Mwingi Central Sub- County,Kitui County,17453,7608,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
238,Mbondoni Dispensary (Mwingi),Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16246,7554,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
239,Vote Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17937,7700,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
240,Mwala Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,22958,2882,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
241,Our Lady Of Lourdes Mutomo Hospital,Mutomo Ward,Kitui South Sub County,Kitui County,12604,6408,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
242,Miambani Health Centre,Miambani Ward,Kitui Central  Sub County,Kitui County,12519,11352,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
243,Nzawa Health Centre,Nguutani Ward,Mwingi West Sub County,Kitui County,12690,7329,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
244,Kiati Dispensary,Mutha Ward,Kitui South Sub County,Kitui County,17935,6357,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
245,Nzatani Dispensary (Mwingi),Migwani Ward,Mwingi West Sub County,Kitui County,12689,7350,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
246,Katene Dispensary,Mutha Ward,Kitui South Sub County,Kitui County,22187,3505,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
247,Nzangathi Health Centre,Chuluni Ward,Kitui East Sub County,Kitui County,16992,7541,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
248,Kituvwi Dispensary,Kanziko Ward,Kitui South Sub County,Kitui County,22212,5734,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
249,Nuu Hospital,Nuu Ward,Mwingi Central Sub- County,Kitui County,12681,9462,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
250,Ngauni Dispensary,Ikutha Ward,Kitui South Sub County,Kitui County,20662,11284,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
251,Nguungani Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,12662,8410,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
252,Kaluluini Dispensary,Ikutha Ward,Kitui South Sub County,Kitui County,22214,2061736,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
253,Migwani Sub-District Hospital,Migwani Ward,Mwingi West Sub County,Kitui County,12523,7367,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
254,Ikutha Medical Clinic,Ikutha Ward,Kitui South Sub County,Kitui County,17610,6184,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
255,Nguni Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,12658,7967,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
256,Ngongoni Dispensary (Mwingi),Nguutani Ward,Mwingi West Sub County,Kitui County,12655,3626,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
257,Mikongooni Dispensary,Kanziko Ward,Kitui South Sub County,Kitui County,17599,6182,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
258,Ngongoni Dispensary (Kyuso),Tseikuru Ward,Mwingi North Sub County,Kitui County,16864,9514,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
259,Ngatiie Dispensary,Athi Ward,Kitui South Sub County,Kitui County,22184,2798,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
260,Ngomeni Health Centre,Ngomeni Ward,Mwingi North Sub County,Kitui County,12654,8391,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
261,Mikuyuni Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,17004,7282,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
262,Mercy Clinic (Ikutha),Athi Ward,Kitui South Sub County,Kitui County,12511,6186,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
263,Ngelani Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18686,3750,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
264,Ngaie Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,16861,8338,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
265,Zombe Medical Clinic,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,20313,3812,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
266,Mivukoni Health Centre,Kyuso Ward,Mwingi North Sub County,Kitui County,12539,1307,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
267,Zombe Hospital,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,23030,2061822,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
268,Monguni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17601,13446,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
269,Neema Nursing Home,Kyuso Ward,Mwingi North Sub County,Kitui County,21141,9410,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
270,Kikuu Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18683,10449,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
271,Kasunguni Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,12210,6384,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
272,Muamba Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17603,13380,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
273,Nduu Ndune Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,17814,2351,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
274,Voo Health Centre,Voo/kyamatu Ward,Kitui East Sub County,Kitui County,12836,7879,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
275,Matundu Dispensary,Voo/kyamatu Ward,Kitui East Sub County,Kitui County,20897,12492,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
276,Kyuukuni Dispensary,Voo/kyamatu Ward,Kitui East Sub County,Kitui County,20895,6359,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
277,Muangeni Dispensary,Athi Ward,Kitui South Sub County,Kitui County,17816,12011,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
278,Ndatani Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,12636,12560,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
279,Kakungu Dispensary,Nzambani Ward,Kitui East Sub County,Kitui County,12138,6535,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
280,Ndakani (Syamatani) Dispensary,Mutha Ward,Kitui South Sub County,Kitui County,17817,4560,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
281,Mui Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12556,6977,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
282,Yoonye Dispensary,Mutitu/kaliku Ward,Kitui East Sub County,Kitui County,18677,5293,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
283,Twambui Dispensary,Endau/malalani Ward,Kitui East Sub County,Kitui County,20893,5912,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
284,Mwitika Health centre,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,12628,12433,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
285,Makuka Dispensary,Endau/malalani Ward,Kitui East Sub County,Kitui County,20894,7352,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
286,Mwingi Hospital,Central Ward,Mwingi Central Sub- County,Kitui County,12626,11565,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
287,Kyanika Dispensary,Chuluni Ward,Kitui East Sub County,Kitui County,12407,7272,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
288,Kamaembe Dispensary,Chuluni Ward,Kitui East Sub County,Kitui County,20419,6632,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
289,Mukong'a Dispensary,Mumoni Ward,Mwingi North Sub County,Kitui County,16863,12622,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
290,Kalulu Dispensary,Chuluni Ward,Kitui East Sub County,Kitui County,20422,6350,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
291,Township Dispensary (Kitui),Township Ward,Kitui Central  Sub County,Kitui County,12804,12801,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
292,Mwengea Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17604,6403,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
293,Syongila (ACK) Dispensary,Township Ward,Kitui Central  Sub County,Kitui County,12780,12476,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
294,Mukua Nima Dispensary,Athi Ward,Kitui South Sub County,Kitui County,20658,11273,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
295,Neema Nursing Home,Township Ward,Kitui Central  Sub County,Kitui County,12641,6560,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
296,Kitui Quality Care,Township Ward,Kitui Central  Sub County,Kitui County,12367,7011,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
297,Kitui county beyond Zero campaign KCA 423F,Township Ward,Kitui Central  Sub County,Kitui County,21169,2691,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
298,Kitui county beyond Zero campaign kbz 544y,Township Ward,Kitui Central  Sub County,Kitui County,21002,1471,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
299,Mwambiu Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12619,3081,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
300,GK Prison Dispensary (Kitui),Township Ward,Kitui Central  Sub County,Kitui County,12047,2548,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
301,Muyuni Dispensary,Mui Ward,Mwingi Central Sub- County,Kitui County,12617,7472,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
302,Muvuko Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,17779,13362,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
303,Kyandui Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12405,6457,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
304,Kitundu Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,19145,4559,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
305,Mulango (AIC) Health Centre,Mulango Ward,Kitui Central  Sub County,Kitui County,12566,12475,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
306,Mutyangome Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12611,7600,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
307,Kathungi Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,19148,6356,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
308,Kangalu Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12171,6455,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
309,Kalikuvu Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12152,6454,2018Q3,"FPRH, MCH, WASH, Training",Afya Halisi,2081099
